LOG_CLint_HLM,LOG_CLint_RLM,LOG_CLint_MLM
1.1095785469043866,1.6354837468149122,2.084093460228235
1.0413926851582251,1.3617278360175928,1.568201724066995
1.0413926851582251,1.662757831681574,1.8260748027008264
1.0681858617461617,1.9273703630390235,1.9149510611278813
1.410608542568368,1.334453751150931,1.9351544472161684
2.066959197867122,2.6368187568475414,2.684243752370626
1.0413137153458605,1.2190603324488611,1.5750029994335306
1.2380461031287957,1.613841821876069,1.863620220270316
1.8316138553090988,1.4593924877592308,1.706675118700799
1.2041199826559248,1.3424226808222062,1.7075701760979365
0.670245853074124,1.255272505103306,1.291701770729981
0.99563519459755,1.2201080880400552,1.0934216851622351
2.726996013587268,3.208621379334218,3.204119982655925
1.390405156480081,1.6170003411208989,2.405645123036818
1.0413926851582251,1.0,1.5563025007672873
3.0681858617461617,3.255272505103306,3.592731766393962
0.9712758487381052,1.4014005407815442,1.7688230254496435
1.2723058444020865,1.510545010206612,1.9149510611278813
2.322219294733919,2.305351369446624,3.0
1.6122539060964374,2.017200343523835,2.3773490590268374
1.2143138974243997,2.018700498666244,1.671913012441587
2.255706582582625,2.355643050220869,3.291701770729981
-0.4546928835341759,1.760422483423212,2.149034267161249
1.1821292140529984,2.1942922815519728,2.2739730037695494
2.218635271207042,2.350092885458106,2.743181175854843
0.8450980400142568,1.380211241711606,1.724275869600789
1.4653828514484182,1.2013971243204515,1.3617278360175928
1.8757208898150148,2.3380578754197563,2.7419508790493423
0.2304489213782739,2.207095540419218,2.141763230275788
1.2479732663618066,1.4593924877592308,3.177247836255624
0.5453071164658241,2.1360860973840974,2.149034267161249
0.5797835966168101,1.3010299956639813,1.3222192947339193
0.8316138553090989,0.1417632302757879,0.9107951013567238
3.3839463524118965,3.804643657436484,4.061522028493573
1.0681858617461617,1.255272505103306,1.7388598020722
-0.5204726755144591,-0.6743475294276867,-0.4412914294668342
1.499549625905149,1.7323937598229686,1.954459602411555
2.179551791165188,2.1997551772534747,2.5689054149828787
1.9788102666353629,2.0398897977361816,1.990671775066
1.740362689494244,2.9175055095525466,2.847572659142112
1.5996647787884168,2.100370545117563,2.710003062049726
-1.589391457431632,-0.390619055749293,-0.6364162219638936
1.1702617153949575,1.739572344450092,1.8887409606828929
0.7671558660821804,0.9542425094393248,1.291701770729981
1.431797841638306,1.6188844849954505,1.9563437462861064
1.7671558660821804,1.6354837468149122,2.729452333550369
1.1787755720454105,1.2375437381428744,1.5970531401766048
0.9790929006383264,1.6522463410033232,1.9532763366673045
-0.3297541469258759,-0.0819696632151198,0.2739730037695493
2.2750117377780112,2.459392487759231,2.838244434208112
1.1760912590556811,1.591064607026499,1.7781512503836436
1.3282572497312364,1.7698202577635922,2.15857958506748
1.1760912590556811,1.591064607026499,1.8512583487190752
1.3234583668494675,1.9365137424788932,2.4735453586747536
1.3469394626989906,1.255272505103306,1.7688230254496435
-0.2075382686530493,0.3590762260592629,0.5750029994335306
1.2041199826559248,1.7481880270062005,1.4913616938342726
-1.1023729087095586,-1.1804560644581312,-0.4621809049267259
